CodigoLoja;Produto;CategoriaProduto;Preco;Frete;DataCompra;Vendedor;LocalCompra;AvaliacaoCompra;TipoPagamento;QuantidadeParcelas;lat;lon
1;Assistente virtual;eletronicos;219,08;9,25;2021-01-16;Pedro Gomes;SP;4.0;cartao_credito;8;-22.19;-48.79
1;Mesa de jantar;moveis;256,35;11,23;2022-05-18;Beatriz Moraes;RJ;1.0;cartao_credito;4;-22.25;-42.66
1;Jogo de tabuleiro;brinquedos;279,51;21,26;2021-03-15;João Souza;DF;1.0;cartao_credito;1;-15.83;-47.86
1;Micro-ondas;eletrodomesticos;1.009,99;54,67;2022-05-03;João Souza;RS;4.0;boleto;1;-30.17;-53.5
1;Cadeira de escritório;moveis;446,99;26,96;2020-11-07;Larissa Alves;MG;5.0;boleto;1;-18.1;-44.38
1;Blocos de montar;brinquedos;32,26;0,00;2020-12-03;Beatriz Moraes;RS;5.0;cupom;1;-30.17;-53.5
1;Boneca bebê;brinquedos;58,90;0,00;2021-08-07;João Souza;SP;3.0;boleto;1;-22.19;-48.79
1;Lava louças;eletrodomesticos;1.586,23;84,99;2021-06-18;Felipe Santos;CE;5.0;cartao_credito;10;-5.2;-39.53
1;Lavadora de roupas;eletrodomesticos;2.024,31;105,37;2022-01-08;Thiago Silva;SP;1.0;cartao_credito;5;-22.19;-48.79
1;Carrinho controle remoto;brinquedos;100,26;6,74;2020-02-24;Beatriz Moraes;SP;5.0;boleto;1;-22.19;-48.79
1;Geladeira;eletrodomesticos;3.241,75;170,20;2020-04-03;Bianca Santos;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Lava louças;eletrodomesticos;1.889,50;100,90;2021-07-05;Rafael Costa;DF;5.0;cartao_credito;1;-15.83;-47.86
1;Fone de ouvido;eletronicos;122,42;7,05;2020-02-20;Rafael Costa;RJ;1.0;cartao_credito;5;-22.25;-42.66
1;Panela de pressão;utilidades domesticas;88,91;2,32;2020-09-10;Thiago Silva;ES;4.0;cartao_credito;2;-19.19;-40.34
1;Bicicleta;esporte e lazer;817,71;41,13;2020-09-04;João Souza;SP;2.0;cartao_credito;8;-22.19;-48.79
1;Ciência de dados com python;livros;75,92;1,63;2020-12-16;Thiago Silva;RS;5.0;cartao_credito;5;-30.17;-53.5
1;Bola de vôlei;esporte e lazer;78,53;1,77;2022-05-03;Pedro Gomes;RJ;2.0;boleto;1;-22.25;-42.66
1;Xadrez de madeira;brinquedos;39,44;2,38;2021-07-22;Thiago Silva;CE;5.0;cartao_credito;2;-5.2;-39.53
1;TV Led UHD 4K;eletronicos;2.522,26;143,88;2022-01-09;Beatriz Moraes;SP;3.0;cartao_credito;5;-22.19;-48.79
1;Jogo de tabuleiro;brinquedos;185,17;13,02;2020-01-10;Thiago Silva;MG;4.0;cartao_credito;4;-18.1;-44.38
1;Micro-ondas;eletrodomesticos;580,92;31,22;2021-03-11;Thiago Silva;RS;5.0;cupom;1;-30.17;-53.5
1;Copo térmico;esporte e lazer;67,73;4,14;2022-07-11;Camila Ribeiro;SP;5.0;cartao_credito;2;-22.19;-48.79
1;Bicicleta;esporte e lazer;685,95;36,81;2022-04-21;Larissa Alves;RJ;3.0;cartao_credito;10;-22.25;-42.66
1;Kit banquetas;moveis;391,33;18,42;2023-03-06;Camila Ribeiro;SP;4.0;cartao_credito;3;-22.19;-48.79
1;Dashboards com Power BI;livros;44,69;0,00;2023-02-14;Pedro Gomes;MG;5.0;cartao_credito;2;-18.1;-44.38
1;Faqueiro;utilidades domesticas;63,85;4,34;2021-03-20;João Souza;SP;5.0;boleto;1;-22.19;-48.79
1;Jogo de panelas;utilidades domesticas;185,73;10,78;2023-03-06;Beatriz Moraes;MG;5.0;boleto;1;-18.1;-44.38
1;Bateria;instrumentos musicais;778,57;39,04;2020-09-14;Juliana Costa;SP;1.0;cartao_credito;8;-22.19;-48.79
1;Corda de pular;esporte e lazer;24,58;1,59;2020-07-18;Felipe Santos;BA;1.0;cartao_credito;4;-13.29;-41.71
1;Carrinho controle remoto;brinquedos;105,48;3,20;2021-12-15;Bruno Rodrigues;SP;4.0;cupom;1;-22.19;-48.79
1;Fogão;eletrodomesticos;752,25;37,64;2021-09-08;Mariana Ferreira;RJ;1.0;cartao_credito;1;-22.25;-42.66
1;Jogo de tabuleiro;brinquedos;205,26;8,51;2021-08-15;Bruno Rodrigues;MG;3.0;cartao_credito;3;-18.1;-44.38
